Year,Event,Player,Team,Value
1925,RBI,Bob Meusel,New York,138
1925,Runs,Johnny Mostil,Chicago,135
1925,Slugging Average,Ken Williams,St. Louis,.613
1925,Stolen Bases,Johnny Mostil,Chicago,43
1925,Total Bases,Al Simmons,Philadelphia,392
1925,Triples,Goose Goslin,Washington,20
1926,Base on Balls,Babe Ruth,New York,144
1926,Batting Average,Heinie Manush,Detroit,.378
1926,Doubles,George Burns,Cleveland,64
1926,Hits,Sam Rice,Washington,216
1926,Home Runs,Babe Ruth,New York,47
1926,On Base Percentage,Babe Ruth,New York,.516
1926,RBI,Babe Ruth,New York,146
1926,Runs,Babe Ruth,New York,139
1926,Slugging Average,Babe Ruth,New York,.737
1926,Stolen Bases,Johnny Mostil,Chicago,35
1926,Total Bases,Babe Ruth,New York,365
1926,Triples,Babe Ruth,New York,20
1927,Base on Balls,Babe Ruth,New York,137
1927,Batting Average,Harry Heilmann,Detroit,.398
1927,Doubles,Lou Gehrig,New York,52
1927,Hits,Earle Combs,New York,231
1927,Home Runs,Babe Ruth,New York,60
1927,On Base Percentage,Babe Ruth,New York,.486
1927,RBI,Lou Gehrig,New York,175
1927,Runs,Babe Ruth,New York,158
1927,Slugging Average,Babe Ruth,New York,.772
1927,Stolen Bases,George Sisler,St. Louis,27
1927,Total Bases,Lou Gehrig,New York,447
1927,Triples,Earle Combs,New York,23
1928,Base on Balls,Babe Ruth,New York,137
1928,Batting Average,Goose Goslin,Washington,.379
1928,Doubles,Lou Gehrig,New York,47
1928,Hits,Henie Manush,St. Louis,241
1928,Home Runs,Babe Ruth,New York,54
1928,On Base Percentage,Lou Gehrig,New York,.467
1928,RBI,Lou Gehrig,New York,142
1928,Runs,Babe Ruth,New York,163
1928,Slugging Average,Babe Ruth,New York,.709
1928,Stolen Bases,Buddy Myer,Boston,30
1928,Total Bases,Babe Ruth,New York,380
1928,Triples,Earle Combs,New York,21
1929,Base on Balls,Max Bishop,Philadelphia,128
1929,Batting Average,Lew Fonseca,Cleveland,.369
1929,Doubles,Charlie Gehringer,Detroit,45
1929,Hits,Dale Alexander,Detroit,215
1929,Home Runs,Babe Ruth,New York,46
1929,On Base Percentage,Jimmie Foxx,Philadelphia,.463
1929,RBI,Al Simmons,Philadelphia,157
1929,Runs,Charlie Gehringer,Detroit,131
1929,Slugging Average,Babe Ruth,New York,.697
1929,Stolen Bases,Charlie Gehringer,Detroit,27
1929,Total Bases,Al Simmons,Philadelphia,373
1929,Triples,Charlie Gehringer,Detroit,19
1930,Base on Balls,Babe Ruth,New York,136
1930,Batting Average,Al Simmons,Philadelphia,.381
1930,Doubles,Johnny Hodapp,Cleveland,51
1930,Hits,Johnny Hodapp,Cleveland,225
1930,Home Runs,Babe Ruth,New York,49
1930,On Base Percentage,Babe Ruth,New York,.493
1930,RBI,Lou Gehrig,New York,174
1930,Runs,Al Simmons,Philadelphia,152
1930,Slugging Average,Babe Ruth,New York,.732
1930,Stolen Bases,Marty McManus,Detroit,23
1930,Total Bases,Lou Gehrig,New York,419
1930,Triples,Earle Combs,New York,22
1931,Base on Balls,Babe Ruth,New York,128
1931,Batting Average,Al Simmons,Philadelphia,.390
1931,Doubles,Earl Webb,Boston,67
1931,Hits,Lou Gehrig,New York,211
1931,Home Runs,Lou Gehrig,New York,46
1931,On Base Percentage,Babe Ruth,New York,.495
1931,RBI,Lou Gehrig,New York,184
1931,Runs,Lou Gehrig,New York,163
1931,Slugging Average,Babe Ruth,New York,.700
1931,Stolen Bases,Ben Chapman,New York,61
1931,Total Bases,Lou Gehrig,New York,410
1931,Triples,Roy Johnson,Detroit,19
1932,Base on Balls,Babe Ruth,New York,130
1932,Batting Average,Dale Alexander *,Detroit,.367
1932,Doubles,Eric McNair,Philadelphia,47
1932,Hits,Al Simmons,Philadelphia,216
1932,Home Runs,Jimmie Foxx,Philadelphia,58
